.id,X..i..,date,probe.name,probe.type,probe.value,probe.name.1,probe.type.1,probe.value.1,probe.name.2,probe.type.2,probe.value.2,probe.name.3,probe.type.3,probe.value.3,probe.name.4,probe.type.4,probe.value.4,probe.name.5,probe.type.5,probe.value.5,probe.name.6,probe.type.6,probe.value.6,probe.name.7,probe.type.7,probe.value.7,probe.name.8,probe.type.8,probe.value.8,probe.name.9,probe.type.9,probe.value.9,probe.name.10,probe.type.10,probe.value.10,probe.name.11,probe.type.11,probe.value.11,probe.name.12,probe.type.12,probe.value.12,probe.name.13,probe.type.13,probe.value.13,probe.name.14,probe.type.14,probe.value.14,probe.name.15,probe.type.15,probe.value.15,probe.name.16,probe.type.16,probe.value.16,probe.name.17,probe.type.17,probe.value.17,probe.name.18,probe.type.18,probe.value.18,probe.name.19,probe.type.19,probe.value.19,probe.name.20,probe.type.20,probe.value.20,probe.name.21,probe.type.21,probe.value.21,probe.name.22,probe.type.22,probe.value.22,probe.name.23,probe.type.23,probe.value.23,probe.name.24,probe.type.24,probe.value.24,probe.name.25,probe.type.25,probe.value.25
hostname,apex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serial,AC5:29413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
timezone,-8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
record,NA,11/14/2018 05:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,181,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.61,TMP-T1,Temp,-5.7,PH-T1,pH,7.60
record,NA,11/14/2018 05:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.61,TMP-T1,Temp,-5.7,PH-T1,pH,7.59
record,NA,11/14/2018 05:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,184,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.61,TMP-T1,Temp,-5.7,PH-T1,pH,7.58
record,NA,11/14/2018 06:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,184,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.60,TMP-T1,Temp,-5.7,PH-T1,pH,7.57
record,NA,11/14/2018 06:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.60,TMP-T1,Temp,-5.7,PH-T1,pH,7.56
record,NA,11/14/2018 06:20:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.59,TMP-T1,Temp,-5.7,PH-T1,pH,7.54
record,NA,11/14/2018 06:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.58,TMP-T1,Temp,-5.7,PH-T1,pH,7.53
record,NA,11/14/2018 06:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.58,TMP-T1,Temp,-5.7,PH-T1,pH,7.52
record,NA,11/14/2018 06:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.57,TMP-T1,Temp,-5.7,PH-T1,pH,7.51
record,NA,11/14/2018 07:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.57,TMP-T1,Temp,-5.7,PH-T1,pH,7.49
record,NA,11/14/2018 07:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.56,TMP-T1,Temp,-5.7,PH-T1,pH,7.48
record,NA,11/14/2018 07:20:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.55,TMP-T1,Temp,-5.7,PH-T1,pH,7.47
record,NA,11/14/2018 07:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.55,TMP-T1,Temp,-5.7,PH-T1,pH,7.46
record,NA,11/14/2018 07:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.54,TMP-T1,Temp,-5.7,PH-T1,pH,7.45
record,NA,11/14/2018 07:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.54,TMP-T1,Temp,-5.7,PH-T1,pH,7.44
record,NA,11/14/2018 08:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.53,TMP-T1,Temp,-5.7,PH-T1,pH,7.43
record,NA,11/14/2018 08:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.53,TMP-T1,Temp,-5.7,PH-T1,pH,7.41
record,NA,11/14/2018 08:20:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.52,TMP-T1,Temp,-5.7,PH-T1,pH,7.40
record,NA,11/14/2018 08:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,183,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.51,TMP-T1,Temp,-5.7,PH-T1,pH,7.39
record,NA,11/14/2018 08:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,184,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.51,TMP-T1,Temp,-5.7,PH-T1,pH,7.38
record,NA,11/14/2018 08:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,183,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.50,TMP-T1,Temp,-5.7,PH-T1,pH,7.36
record,NA,11/14/2018 09:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.49,TMP-T1,Temp,-5.7,PH-T1,pH,7.35
record,NA,11/14/2018 09:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,184,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.49,TMP-T1,Temp,-5.7,PH-T1,pH,7.33
record,NA,11/14/2018 09:20:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,182,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,117,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.48,TMP-T1,Temp,-5.7,PH-T1,pH,7.31
record,NA,11/14/2018 09:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.47,TMP-T1,Temp,-5.7,PH-T1,pH,7.30
record,NA,11/14/2018 09:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.47,TMP-T1,Temp,-5.7,PH-T1,pH,7.29
record,NA,11/14/2018 09:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.46,TMP-T1,Temp,-5.7,PH-T1,pH,7.27
record,NA,11/14/2018 10:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.45,TMP-T1,Temp,-5.8,PH-T1,pH,7.26
record,NA,11/14/2018 10:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,179,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.45,TMP-T1,Temp,-5.8,PH-T1,pH,7.25
record,NA,11/14/2018 10:20:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,179,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.45,TMP-T1,Temp,-5.8,PH-T1,pH,7.24
record,NA,11/14/2018 10:30:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,178,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,115,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.44,TMP-T1,Temp,-5.8,PH-T1,pH,7.23
record,NA,11/14/2018 10:40:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,178,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,115,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.44,TMP-T1,Temp,-5.8,PH-T1,pH,7.22
record,NA,11/14/2018 10:50:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,180,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.43,TMP-T1,Temp,-5.8,PH-T1,pH,7.21
record,NA,11/14/2018 11:00:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,178,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,115,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.43,TMP-T1,Temp,-5.8,PH-T1,pH,7.20
record,NA,11/14/2018 11:10:00,TMP-T0,Temp,-6.3,PH-T0,pH,12.4,Salt,Cond,0.0,EB_0A,Amps,0.0,EB_1A,Amps,0.0,EB_2A,Amps,0.0,EB_3A,Amps,0.0,EB_4A,Amps,0.0,EB_5A,Amps,2.2,CameraA,Amps,0.0,RouterA,Amps,0.0,EB_0W,pwr,0,EB_1W,pwr,0,EB_2W,pwr,0,EB_3W,pwr,0,EB_4W,pwr,0,EB_5W,pwr,181,CameraW,pwr,1,RouterW,pwr,5,Volt_2,volts,116,TMP-T2,Temp,-5.7,PH-T2,pH,1.80,TMP-T3,Temp,-5.7,PH-T3,pH,6.42,TMP-T1,Temp,-5.8,PH-T1,pH,7.19
